Token,Average Price (USD),Price (USD),Price Ratio (Average / Latest)
tether,1.000701818539738,1.0009476739421386,0.9997543773677676
tezos,1.275422930858729,1.3731712241906129,0.9288156556080619
the-graph,0.2577400696679078,0.2886388330044014,0.8929500822364314
the-open-network,6.287258386618638,6.466018448765614,0.9723539201808028
the-sandbox,0.6294804582376746,0.6537878219341857,0.9628207150989759
theta-token,2.051693281032841,2.417898943264736,0.8485438511597053
thorchain,5.629185545704539,6.185135374771892,0.9101151720405383
tron,0.2028812434353886,0.2045736076805526,0.9917273578720541
uniswap,11.78585181833516,12.622776205371563,0.9336972807392202
usd-coin,0.9999944719889388,1.0003890779484927,0.9996055475132104
usds,0.9998326521811304,1.0005635952163876,0.9992694686886953
vechain,0.0427247310829698,0.0453698563266306,0.9416986197924502
weth,3479.0868264895485,3598.268924126253,0.96687793487652
whitebit,23.8787558713916,23.58824420492484,1.0123159512824658
worldcoin-wld,2.5946309323899555,2.927351311398944,0.8863408099624416
wrapped-bitcoin,95535.5095882561,97208.17744873565,0.9827929305498845
wrapped-eeth,3665.788818608596,3792.221963756189,0.966659877413304
wrapped-steth,4126.150367828873,4271.173651097514,0.9660460343888437
